Cuarenta cuarenta DN0CP0 1.0
años año NCMP000 1.0
después después RG 1.0
de de SPS00 1.0
ser ser VSN0000 1.0
proclamado proclamar VMP00SM 1.0
candidato candidato NCMS000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
presidencia presidencia NCFS000 1.0
, , FC 1.0
el el DA0MS0 1.0
espíritu espíritu NCMS000 1.0
de de SPS00 1.0
John_F._Kennedy John_F._Kennedy NP0000P 1.0
planeó planear VMIS3S0 1.0
hoy hoy RG 1.0
sobre sobre SPS00 1.0
la el DA0FS0 1.0
convención convención NCFS000 1.0
demócrata demócrata AQ0CS0 1.0
de de SPS00 1.0
Los_Angeles Los_Angeles NP0000L 1.0
, , FC 1.0
donde donde PR000000 1.0
su su DP3CS0 1.0
hija hija NCFS000 1.0
Caroline Caroline NP0000P 1.0
apostó apostar VMIS3S0 1.0
por por SPS00 1.0
renovar renovar VMN0000 1.0
la el DA0FS0 1.0
" " FE 1.0
nueva nuevo AQ0FS0 1.0
frontera frontera NCFS000 1.0
" " FE 1.0
. . FP 1.0
Ante ante SPS00 1.0
una uno DI0FS0 1.0
audiencia audiencia NCFS000 1.0
entregada entregado AQ0FSP 1.0
y y CC 1.0
nostálgica nostálgico AQ0FS0 1.0
, , FC 1.0
que que PR0CN000 1.0
la él PP3FSA00 1.0
aclamó aclamar VMIS3S0 1.0
a_veces a_veces RG 1.0
con con SPS00 1.0
lágrimas lágrima NCFP000 1.0
en en SPS00 1.0
los el DA0MP0 1.0
ojos ojo NCMP000 1.0
, , FC 1.0
la el DA0FS0 1.0
única único AQ0FS0 1.0
superviviente superviviente NCCS000 1.0
del del SPCMS 1.0
presidente presidente NCMS000 1.0
asesinado asesinado AQ0MSP 1.0
aseguró asegurar VMIS3S0 1.0
que que CS 1.0
el el DA0MS0 1.0
llamamiento llamamiento NCMS000 1.0
lanzado lanzado AQ0MSP 1.0
por por SPS00 1.0
su su DP3CS0 1.0
padre padre NCMS000 1.0
a_favor_de a_favor_de SPS00 1.0
una uno DI0FS0 1.0
" " FE 1.0
nueva nuevo AQ0FS0 1.0
frontera frontera NCFS000 1.0
" " FE 1.0
para para SPS00 1.0
EEUU EEUU NP0000L 1.0
" " FE 1.0
no no RN 1.0
tiene tener VMIP3S0 1.0
límite límite NCMS000 1.0
temporal temporal AQ0CS0 1.0
" " FE 1.0
y y CC 1.0
que que CS 1.0
" " FE 1.0
nosotros yo PP1MP000 1.0
somos ser VSIP1P0 1.0
ahora ahora RG 1.0
la el DA0FS0 1.0
nueva nuevo AQ0FS0 1.0
frontera frontera NCFS000 1.0
" " FE 1.0
. . FP 1.0
Entre entre SPS00 1.0
vítores vítor NCMP000 1.0
, , FC 1.0
aplausos aplauso NCMP000 1.0
, , FC 1.0
gritos grito NCMP000 1.0
y y CC 1.0
oleadas oleada NCFP000 1.0
de de SPS00 1.0
pancartas pancarta NCFP000 1.0
con con SPS00 1.0
el el DA0MS0 1.0
apellido apellido NCMS000 1.0
Kennedy Kennedy NP0000P 1.0
, , FC 1.0
Caroline_Kennedy Caroline_Kennedy NP0000P 1.0
llegó llegar VMIS3S0 1.0
al al SPCMS 1.0
podium podium NCMS000 1.0
del del SPCMS 1.0
centro centro NCMS000 1.0
Staples Staples NP0000L 1.0
para para SPS00 1.0
devolver devolver VMN0000 1.0
a a SPS00 1.0
las el DA0FP0 1.0
filas fila NCFP000 1.0
demócratas demócrata AQ0CP0 1.0
el el DA0MS0 1.0
recuerdo recuerdo NCMS000 1.0
de de SPS00 1.0
su su DP3CS0 1.0
más más RG 1.0
adorado adorado AQ0MSP 1.0
presidente presidente NCMS000 1.0
. . FP 1.0
" " FE 1.0
Sé saber VMIP1S0 1.0
que que CS 1.0
el el DA0MS0 1.0
espíritu espíritu NCMS000 1.0
de de SPS00 1.0
mi mi DP1CSS 1.0
padre padre NCMS000 1.0
vive vivir VMIP3S0 1.0
y y CC 1.0
os tú PP2CP000 1.0
lo él PP3MSA00 1.0
agradezco agradecer VMIP1S0 1.0
" " FE 1.0
, , FC 1.0
dijo decir VMIS3S0 1.0
Caroline_Kennedy Caroline_Kennedy NP0000P 1.0
en en SPS00 1.0
su su DP3CS0 1.0
primera primero AO0FS0 1.0
aparición aparición NCFS000 1.0
en en SPS00 1.0
una uno DI0FS0 1.0
convención convención NCFS000 1.0
demócrata demócrata AQ0CS0 1.0
en en SPS00 1.0
apoyo apoyo NCMS000 1.0
del del SPCMS 1.0
candidato candidato NCMS000 1.0
del del SPCMS 1.0
partido partido NCMS000 1.0
al al SPCMS 1.0
que que PR0CN000 1.0
tradicionalmente tradicionalmente RG 1.0
pertenece pertenecer VMIP3S0 1.0
su su DP3CS0 1.0
familia familia NCFS000 1.0
. . FP 1.0
La el DA0FS0 1.0
hija hija NCFS000 1.0
del del SPCMS 1.0
presidente presidente NCMS000 1.0
asesinado asesinado AQ0MSP 1.0
reivindicó reivindicar VMIS3S0 1.0
que que CS 1.0
el el DA0MS0 1.0
programa programa NCMS000 1.0
demócrata demócrata AQ0CS0 1.0
es ser VSIP3S0 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
mejor mejor RG 1.0
defiende defender VMIP3S0 1.0
los el DA0MP0 1.0
derechos derecho NCMP000 1.0
civiles civil AQ0CP0 1.0
, , FC 1.0
la el DA0FS0 1.0
diversidad diversidad NCFS000 1.0
de de SPS00 1.0
EEUU EEUU NP0000L 1.0
y y CC 1.0
la el DA0FS0 1.0
necesidad necesidad NCFS000 1.0
de de SPS00 1.0
una uno DI0FS0 1.0
" " FE 1.0
sociedad sociedad NCFS000 1.0
abierta abierto AQ0FSP 1.0
" " FE 1.0
, , FC 1.0
y y CC 1.0
dijo decir VMIS3S0 1.0
que que CS 1.0
, , FC 1.0
" " FE 1.0
ahora ahora RG 1.0
que que PR0CN000 1.0
tantos tanto PI0MP000 1.0
estamos estar VMIP1P0 1.0
tan tanto RG 1.0
bien bien RG 1.0
, , FC 1.0
es ser VSIP3S0 1.0
el el DA0MS0 1.0
momento momento NCMS000 1.0
de de SPS00 1.0
pedir pedir VMN0000 1.0
más más RG 1.0
de de SPS00 1.0
nosotros yo PP1MP000 1.0
" " FE 1.0
. . FP 1.0
Aseguró asegurar VMIS3S0 1.0
que que CS 1.0
a a SPS00 1.0
ella él PP3FS000 1.0
, , FC 1.0
al_igual_que al_igual_que CS 1.0
el el DA0MS0 1.0
candidato candidato NCMS000 1.0
demócrata demócrata AQ0CS0 1.0
, , FC 1.0
Albert_Gore Albert_Gore NP0000P 1.0
