Sin_embargo sin_embargo CC 1.0
, , FC 1.0
los el DA0MP0 1.0
abogados abogado NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
empresa empresa NCFS000 1.0
indicaron indicar VMIS3P0 1.0
una uno DI0FS0 1.0
vez vez NCFS000 1.0
más más RG 1.0
que que CS 1.0
proyectan proyectar VMIP3P0 1.0
insistir insistir VMN0000 1.0
en en SPS00 1.0
las el DA0FP0 1.0
apelaciones apelación NCFP000 1.0
para para SPS00 1.0
impedir impedir VMN0000 1.0
que que CS 1.0
esos ese DD0MP0 1.0
remedios remedio NCMP000 1.0
" " FE 1.0
extremos extremo AQ0MP0 1.0
y y CC 1.0
sin sin SPS00 1.0
justificación justificación NCFS000 1.0
" " FE 1.0
se se P0000000 1.0
lleven_a_efecto llevar_a_efecto VMSP3P0 1.0
. . FP 1.0
El el DA0MS0 1.0
Departamento_de_Justicia Departamento_de_Justicia NP0000O 1.0
dijo decir VMIS3S0 1.0
respecto_a respecto_a SPS00 1.0
la el DA0FS0 1.0
última último AO0FS0 1.0
comparecencia comparecencia NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
compañía compañía NCFS000 1.0
que que CS 1.0
ésta este PD0FS000 1.0
no no RN 1.0
tiene_en_cuenta tener_en_cuenta VMIP3S0 1.0
el el DA0MS0 1.0
hecho hecho NCMS000 1.0
de de SPS00 1.0
que que CS 1.0
se se P0000000 1.0
ha haber VAIP3S0 1.0
determinado determinar VMP00SM 1.0
" " FE 1.0
que que CS 1.0
Microsoft Microsoft NP0000O 1.0
ha haber VAIP3S0 1.0
cometido cometer VMP00SM 1.0
repetidamente repetidamente RG 1.0
graves grave AQ0CP0 1.0
violaciones violación NCFP000 1.0
legales legal AQ0CP0 1.0
y y CC 1.0
que que CS 1.0
es ser VSIP3S0 1.0
preciso preciso AQ0MS0 1.0
aplicar aplicar VMN0000 1.0
remedios remedio NCMP000 1.0
serios serio AQ0MP0 1.0
para para SPS00 1.0
restablecer restablecer VMN0000 1.0
la el DA0FS0 1.0
competencia competencia NCFS000 1.0
e e CC 1.0
impedir impedir VMN0000 1.0
violaciones violación NCFP000 1.0
similares similar AQ0CP0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
futuro futuro NCMS000 1.0
" " FE 1.0
. . FP 1.0
La el DA0FS0 1.0
semana semana NCFS000 1.0
pasada pasado AQ0FSP 1.0
el el DA0MS0 1.0
Departamento_de_Justicia Departamento_de_Justicia NP0000O 1.0
y y CC 1.0
los el DA0MP0 1.0
gobiernos gobierno NCMP000 1.0
de de SPS00 1.0
17 17  1.0
de de SPS00 1.0
los el DA0MP0 1.0
19 19  1.0
estados estado NCMP000 1.0
que que PR0CN000 1.0
demandaron demandar VMIS3P0 1.0
a a SPS00 1.0
Microsoft Microsoft NP0000O 1.0
en en SPS00 1.0
1998 [??:??/??/1998:??.??]  1.0
presentaron presentar VMIS3P0 1.0
al al SPCMS 1.0
juez juez NCCS000 1.0
una uno DI0FS0 1.0
versión versión NCFS000 1.0
ajustada ajustado AQ0FSP 1.0
de de SPS00 1.0
sus su DP3CP0 1.0
propuestas propuesta NCFP000 1.0
de de SPS00 1.0
solución solución NCFS000 1.0
judicial judicial AQ0CS0 1.0
, , FC 1.0
entre entre SPS00 1.0
las el DA0FP0 1.0
que que PR0CN000 1.0
figura figurar VMIP3S0 1.0
la el DA0FS0 1.0
división división NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
firma firma NCFS000 1.0
en en SPS00 1.0
dos dos DN0CP0 1.0
compañías compañía NCFP000 1.0
. . FP 1.0
Una uno PI0FS000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
empresas empresa NCFP000 1.0
tomaría tomar VMIC1S0 1.0
posesión posesión NCFS000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
sistemas sistema NCMP000 1.0
operativos operativo AQ0MP0 1.0
Windows Windows NP0000A 1.0
, , FC 1.0
creado creado AQ0MSP 1.0
por por SPS00 1.0
esta este DD0FS0 1.0
firma firma NCFS000 1.0
y y CC 1.0
que que PR0CN000 1.0
usan usar VMIP3P0 1.0
el el DA0MS0 1.0
95_por_ciento 95_% ZP 1.0
de de SPS00 1.0
los el DA0MP0 1.0
ordenadores ordenador NCMP000 1.0
de de SPS00 1.0
todo todo DI0MS0 1.0
el el DA0MS0 1.0
mundo mundo NCMS000 1.0
, , FC 1.0
y y CC 1.0
la el DA0FS0 1.0
otra otro PI0FS000 1.0
pasaría pasar VMIC1S0 1.0
a a SPS00 1.0
controlar controlar VMN0000 1.0
todo todo DI0MS0 1.0
el el DA0MS0 1.0
software software NCMS000 1.0
de de SPS00 1.0
Microsoft Microsoft NP0000O 1.0
, , FC 1.0
incluido incluir VMP00SM 1.0
el el DA0MS0 1.0
popular popular AQ0CS0 1.0
" " FE 1.0
Office_suite Office_suite NP0000A 1.0
" " FE 1.0
y y CC 1.0
los el DA0MP0 1.0
demás demás PI0CP000 1.0
activos activo NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
compañía compañía NCFS000 1.0
. . FP 1.0
Pero pero CC 1.0
el el DA0MS0 1.0
juez juez NCCS000 1.0
, , FC 1.0
que que PR0CN000 1.0
el el DA0MS0 1.0
3_de_abril [??:3/4/??:??.??]  1.0
dictaminó dictaminar VMIS3S0 1.0
que que CS 1.0
Microsoft Microsoft NP0000O 1.0
incurrió incurrir VMIS3S0 1.0
en en SPS00 1.0
prácticas práctica NCFP000 1.0
de de SPS00 1.0
monopolio monopolio NCMS000 1.0
, , FC 1.0
opinó opinar VMIS3S0 1.0
que que CS 1.0
las el DA0FP0 1.0
medidas medida NCFP000 1.0
exigidas exigido AQ0FPP 1.0
por por SPS00 1.0
el el DA0MS0 1.0
