Todos todo DI0MP0 1.0
ellos él PP3MP000 1.0
, , FC 1.0
según según SPS00 1.0
los el DA0MP0 1.0
médicos médico NCMP000 1.0
, , FC 1.0
sufren sufrir VMIP3P0 1.0
porque porque CS 1.0
la el DA0FS0 1.0
jefatura jefatura NCFS000 1.0
del del SPCMS 1.0
Estado Estado NP0000O 1.0
cediese ceder VMSI1S0 1.0
ante ante SPS00 1.0
los el DA0MP0 1.0
golpistas golpista NCCP000 1.0
y y CC 1.0
disolviese disolver VMSI1S0 1.0
el el DA0MS0 1.0
gobierno gobierno NCMS000 1.0
que que PR0CN000 1.0
formaban formar VMII3P0 1.0
, , FC 1.0
que que PR0CN000 1.0
había haber VAII1S0 1.0
sido ser VSP00SM 1.0
elegido elegir VMP00SM 1.0
democráticamente democráticamente RG 1.0
en en SPS00 1.0
mayo_de_1999 [??:??/5/1999:??.??]  1.0
. . FP 1.0
El el DA0MS0 1.0
empresario empresario NCMS000 1.0
fiyiano fiyiano AQ0MS0 1.0
George_Speight George_Speight NP0000P 1.0
encabeza encabezar VMIP3S0 1.0
este este DD0MS0 1.0
" " FE 1.0
golpe golpe NCMS000 1.0
de de SPS00 1.0
Estado Estado NP0000O 1.0
civil civil AQ0CS0 1.0
" " FE 1.0
en_favor_de en_favor_de SPS00 1.0
la el DA0FS0 1.0
comunidad comunidad NCFS000 1.0
de de SPS00 1.0
nativos nativo NCMP000 1.0
fiyianos fiyiano AQ0MP0 1.0
, , FC 1.0
como como CS 1.0
ha haber VAIP3S0 1.0
definido definir VMP00SM 1.0
su su DP3CS0 1.0
acción acción NCFS000 1.0
. . FP 1.0
Speight Speight NP0000P 1.0
aún aún RG 1.0
no no RN 1.0
ha haber VAIP3S0 1.0
logrado lograr VMP00SM 1.0
consolidar consolidar VMN0000 1.0
su su DP3CS0 1.0
intentona intentona NCFS000 1.0
, , FC 1.0
aunque aunque CS 1.0
sí sí RG 1.0
la el DA0FS0 1.0
disolución disolución NCFS000 1.0
del del SPCMS 1.0
gobierno gobierno NCMS000 1.0
de de SPS00 1.0
Chaudhry Chaudhry NP0000P 1.0
, , FC 1.0
y y CC 1.0
negocia negociar VMIP3S0 1.0
con con SPS00 1.0
un uno DI0MS0 1.0
régimen régimen NCMS000 1.0
militar militar AQ0CS0 1.0
, , FC 1.0
impuesto impuesto AQ0MSP 1.0
en en SPS00 1.0
el el DA0MS0 1.0
país país NCMS000 1.0
el el DA0MS0 1.0
lunes_pasado [lunes:??/??/??:??.??]  1.0
, , FC 1.0
una uno DI0FS0 1.0
salida salida NCFS000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
crisis crisis NCFN000 1.0
política político AQ0FS0 1.0
