Un uno DI0MS0 1.0
" " FE 1.0
gigante gigante NCCS000 1.0
" " FE 1.0
de de SPS00 1.0
nombre nombre NCMS000 1.0
Rivaldo Rivaldo NP0000P 1.0
, , FC 1.0
que que PR0CN000 1.0
se él P0300000 1.0
bastó bastar VMIS3S0 1.0
y y CC 1.0
sobró sobrar VMIS3S0 1.0
para para SPS00 1.0
dar dar VMN0000 1.0
el el DA0MS0 1.0
empate empate NCMS000 1.0
al al SPCMS 1.0
Barcelona Barcelona NP0000L 1.0
ante ante SPS00 1.0
el el DA0MS0 1.0
Milán Milán NP0000L 1.0
( ( FPA 1.0
3-3 3-3  1.0
) ) FPT 1.0
, , FC 1.0
y y CC 1.0
el el DA0MS0 1.0
" " FE 1.0
siempre siempre RG 1.0
oportunista oportunista AQ0CS0 1.0
" " FE 1.0
Filippo_Inzaghi Filippo_Inzaghi NP0000P 1.0
, , FC 1.0
autor autor NCMS000 1.0
del del SPCMS 1.0
gol gol NCMS000 1.0
del del SPCMS 1.0
Juventus_Turín Juventus_Turín NP0000O 1.0
en en SPS00 1.0
su su DP3CS0 1.0
visita visita NCFS000 1.0
al al SPCMS 1.0
Deportivo_de_la_Coruña Deportivo_de_la_Coruña NP0000O 1.0
( ( FPA 1.0
1-1 1-1  1.0
) ) FPT 1.0
, , FC 1.0
son ser VSIP3P0 1.0
destacados destacar VMP00PM 1.0
por por SPS00 1.0
la el DA0FS0 1.0
prensa prensa NCFS000 1.0
italiana italiano AQ0FS0 1.0
en_relación_a en_relación_a SPS00 1.0
los el DA0MP0 1.0
encuentros encuentro NCMP000 1.0
europeos europeo AQ0MP0 1.0
jugados jugado AQ0MPP 1.0
anoche anoche RG 1.0
. . FP 1.0
" " FE 1.0
Rivaldo_agarra_al_Milán_por_la_cola Rivaldo_agarra_al_Milán_por_la_cola NP0000A 1.0
" " FE 1.0
, , FC 1.0
" " FE 1.0
Albertini_responde_al_brasileño Albertini_responde_al_brasileño NP0000A 1.0
" " FE 1.0
, , FC 1.0
" " FE 1.0
El_Milán_se_vara_ante_Rivaldo El_Milán_se_vara_ante_Rivaldo NP0000A 1.0
" " FE 1.0
, , FC 1.0
" " FE 1.0
