Eliminar eliminar VMN0000 1.0
millones millón NCMP000 1.0
de de SPS00 1.0
minas mina NCFP000 1.0
antitanque antitanque AQ0CS0 1.0
colocadas colocado AQ0FPP 1.0
en en SPS00 1.0
el el DA0MS0 1.0
desierto desierto NCMS000 1.0
occidental occidental AQ0CS0 1.0
egipcio egipcio AQ0MS0 1.0
hace hacer VMIP3S0 1.0
más más RG 1.0
de de SPS00 1.0
55 55  1.0
años año NCMP000 1.0
, , FC 1.0
durante durante SPS00 1.0
la el DA0FS0 1.0
Segunda_Guerra_Mundial Segunda_Guerra_Mundial NP0000A 1.0
, , FC 1.0
es ser VSIP3S0 1.0
una uno DI0FS0 1.0
misión misión NCFS000 1.0
" " FE 1.0
muy mucho RG 1.0
difícil difícil AQ0CS0 1.0
" " FE 1.0
, , FC 1.0
según según SPS00 1.0
el el DA0MS0 1.0
ministro ministro NCMS000 1.0
alemán alemán AQ0MS0 1.0
de de SPS00 1.0
Defensa Defensa NP0000O 1.0
, , FC 1.0
Rudolf_Scharping Rudolf_Scharping NP0000P 1.0
. . FP 1.0
En en SPS00 1.0
unas uno DI0FP0 1.0
declaraciones declaración NCFP000 1.0
que que PR0CN000 1.0
hoy hoy RG 1.0
miércoles [miércoles:??/??/??:??.??]  1.0
publica publicar VMIP3S0 1.0
el el DA0MS0 1.0
diario diario NCMS000 1.0
egipcio egipcio AQ0MS0 1.0
" " FE 1.0
Al_Ajbar Al_Ajbar NP0000A 1.0
" " FE 1.0
, , FC 1.0
Scharping Scharping NP0000P 1.0
, , FC 1.0
que que PR0CN000 1.0
el el DA0MS0 1.0
martes [martes:??/??/??:??.??]  1.0
finalizó finalizar VMIS3S0 1.0
una uno DI0FS0 1.0
visita visita NCFS000 1.0
a a SPS00 1.0
Egipto Egipto NP0000L 1.0
, , FC 1.0
recordó recordar VMIS3S0 1.0
que que CS 1.0
" " FE 1.0
el el DA0MS0 1.0
movimiento movimiento NCMS000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
arenas arena NCFP000 1.0
en en SPS00 1.0
este este DD0MS0 1.0
periodo periodo NCMS000 1.0
hace hacer VMIP3S0 1.0
difícil difícil AQ0CS0 1.0
saber saber VMN0000 1.0
dónde dónde PT000000 1.0
están estar VMIP3P0 1.0
enterradas enterrado AQ0FPP 1.0
las el DA0FP0 1.0
minas mina NCFP000 1.0
" " FE 1.0
. . FP 1.0
" " FE 1.0
Ya ya RG 1.0
no no RN 1.0
es ser VSIP3S0 1.0
una uno DI0FS0 1.0
cuestión cuestión NCFS000 1.0
de de SPS00 1.0
mapas mapa NCFP000 1.0
el el DA0MS0 1.0
saber saber VMN0000 1.0
dónde dónde PT000000 1.0
están estar VMIP3P0 1.0
y y CC 1.0
cuál cuál PT0CS000 1.0
es ser VSIP3S0 1.0
el el DA0MS0 1.0
estado estado NCMS000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
minas mina NCFP000 1.0
" " FE 1.0
, , FC 1.0
añadió añadir VMIS3S0 1.0
, , FC 1.0
al al SPCMS 1.0
recordar recordar VMN0000 1.0
los el DA0MP0 1.0
millones millón NCMP000 1.0
de de SPS00 1.0
estos este DD0MP0 1.0
artefactos artefacto NCMP000 1.0
explosivos explosivo AQ0MP0 1.0
que que PR0CN000 1.0
alemanes alemán NCMP000 1.0
y y CC 1.0
británicos británico NCMP000 1.0
colocaron colocar VMIS3P0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
desierto desierto NCMS000 1.0
occidental occidental AQ0CS0 1.0
egipcio egipcio AQ0MS0 1.0
durante durante SPS00 1.0
las el DA0FP0 1.0
grandes grande AQ0CP0 1.0
batallas batalla NCFP000 1.0
de de SPS00 1.0
blindados blindado AQ0MPP 1.0
que que PR0CN000 1.0
libraron librar VMIS3P0 1.0
en en SPS00 1.0
esa ese DD0FS0 1.0
zona zona NCFS000 1.0
en en SPS00 1.0
la el DA0FS0 1.0
Segunda_Guerra_Mundial Segunda_Guerra_Mundial NP0000A 1.0
. . FP 1.0
Según según SPS00 1.0
cálculos cálculo NCMP000 1.0
de de SPS00 1.0
organizaciones organización NCFP000 1.0
egipcias egipcio AQ0FP0 1.0
, , FC 1.0
más más RG 1.0
de de SPS00 1.0
17 17  1.0
millones millón NCMP000 1.0
de de SPS00 1.0
minas mina NCFP000 1.0
siguen seguir VMIP3P0 1.0
enterradas enterrado AQ0FPP 1.0
en en SPS00 1.0
el el DA0MS0 1.0
desierto desierto NCMS000 1.0
occidental occidental AQ0CS0 1.0
egipcio egipcio AQ0MS0 1.0
, , FC 1.0
sobre_todo sobre_todo RG 1.0
en en SPS00 1.0
la el DA0FS0 1.0
zona zona NCFS000 1.0
de de SPS00 1.0
El_Alamein El_Alamein NP0000L 1.0
, , FC 1.0
donde donde PR000000 1.0
tuvo_lugar tener_lugar VMIS3S0 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
se se P0000000 1.0
considera considerar VMIP3S0 1.0
el el DA0MS0 1.0
mayor mayor AQ0CS0 1.0
enfrentamiento enfrentamiento NCMS000 1.0
entre entre SPS00 1.0
tanques tanque NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
historia historia NCFS000 1.0
, , FC 1.0
en en SPS00 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
los el DA0MP0 1.0
alemanes alemán NCMP000 1.0
fueron ser VSIS3P0 1.0
derrotados derrotar VMP00PM 1.0
por por SPS00 1.0
los el DA0MP0 1.0
británicos británico NCMP000 1.0
. . FP 1.0
" " FE 1.0
Creo creer VMIP1S0 1.0
que que CS 1.0
las el DA0FP0 1.0
autoridades autoridad NCFP000 1.0
egipcias egipcio AQ0FP0 1.0
tienen tener VMIP3P0 1.0
ya ya RG 1.0
los el DA0MP0 1.0
mapas mapa NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
situación situación NCFS000 1.0
original original AQ0CS0 1.0
de de SPS00 1.0
las el DA0FP0 1.0
minas mina NCFP000 1.0
y y CC 1.0
, , FC 1.0
en en SPS00 1.0
cualquier cualquiera DI0CS0 1.0
caso caso NCMS000 1.0
, , FC 1.0
estamos estar VMIP1P0 1.0
dispuestos dispuesto AQ0MPP 1.0
a a SPS00 1.0
ayudarles ayudar VMN0000 1.0
a a SPS00 1.0
retirarlas retirar VMN0000 1.0
" " FE 1.0
, , FC 1.0
recalcó recalcar VMIS3S0 1.0
Scharpíng Scharpíng NP0000P 1.0
. . FP 1.0
Egipto Egipto NP0000O 1.0
se él P0300000 1.0
ha haber VAIP3S0 1.0
quejado quejar VMP00SM 1.0
reiteradamente reiteradamente RG 1.0
de de SPS00 1.0
la el DA0FS0 1.0
poca poco DI0FS0 1.0
colaboración colaboración NCFS000 1.0
de de SPS00 1.0
Alemania Alemania NP0000O 1.0
y y CC 1.0
del del SPCMS 1.0
Reino_Unido Reino_Unido NP0000O 1.0
para para SPS00 1.0
retirar retirar VMN0000 1.0
estas este DD0FP0 1.0
minas mina NCFP000 1.0
, , FC 1.0
de de SPS00 1.0
las el DA0FP0 1.0
que que PR0CN000 1.0
no no RN 1.0
se se P0000000 1.0
sabe saber VMIP3S0 1.0
la el DA0FS0 1.0
situación situación NCFS000 1.0
exacta exacto AQ0FS0 1.0
ni ni CC 1.0
la el DA0FS0 1.0
profundidad profundidad NCFS000 1.0
a a SPS00 1.0
que que PR0CN000 1.0
pueden poder VMIP3P0 1.0
encontrarse encontrar VMN0000 1.0
bajo bajo SPS00 1.0
la el DA0FS0 1.0
superficie superficie NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
tierra tierra NCFS000 1.0
debido_al debido_al SPCMS 1.0
movimiento movimiento NCMS000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
arenas arena NCFP000 1.0
del del SPCMS 1.0
desierto desierto NCMS000 1.0
. . FP 1.0
Entre entre SPS00 1.0
las el DA0FP0 1.0
minas mina NCFP000 1.0
antitanque antitanque AQ0CS0 1.0
que que PR0CN000 1.0
hay haber VAIP3S0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
desierto desierto NCMS000 1.0
occidental occidental AQ0CS0 1.0
y y CC 1.0
las el DA0FP0 1.0
antipersonal antipersonal AQ0CS0 1.0
colocadas colocado AQ0FPP 1.0
por por SPS00 1.0
los el DA0MP0 1.0
israelíes israelí NCCP000 1.0
en en SPS00 1.0
el el DA0MS0 1.0
Sinaí Sinaí NP0000L 1.0
durante durante SPS00 1.0
los el DA0MP0 1.0
años año NCMP000 1.0
que que PR0CN000 1.0
ocuparon ocupar VMIS3P0 1.0
esa ese DD0FS0 1.0
península península NCFS000 1.0
egipcia egipcio AQ0FS0 1.0
, , FC 1.0
se se P0000000 1.0
calcula calcular VMIP3S0 1.0
que que CS 1.0
en en SPS00 1.0
Egipto Egipto NP0000L 1.0
hay haber VAIP3S0 1.0
unos uno DI0MP0 1.0
21 21  1.0
millones millón NCMP000 1.0
de de SPS00 1.0
estos este DD0MP0 1.0
mortíferos mortífero AQ0MP0 1.0
artefactos artefacto NCMP000 1.0
, , FC 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
le él PP3CSA00 1.0
convierte convertir VMIP3S0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
país país NCMS000 1.0
del del SPCMS 1.0
mundo mundo NCMS000 1.0
con con SPS00 1.0
más más RG 1.0
minas mina NCFP000 1.0
bajo bajo SPS00 1.0
su su DP3CS0 1.0
suelo suelo NCMS000 1.0
. . FP 1.0
Miles mil  1.0
de de SPS00 1.0
personas persona NCFP000 1.0
han haber VAIP3P0 1.0
muerto morir VMP00SM 1.0
o o CC 1.0
sufrido sufrir VMP00SM 1.0
amputaciones amputación NCFP000 1.0
y y CC 1.0
daños daño NCMP000 1.0
irreversibles irreversible AQ0CP0 1.0
por por SPS00 1.0
la el DA0FS0 1.0
explosión explosión NCFS000 1.0
de de SPS00 1.0
minas mina NCFP000 1.0
encontradas encontrado AQ0FPP 1.0
accidentalmente accidentalmente RG 1.0
en en SPS00 1.0
Egipto Egipto NP0000L 1.0
, , FC 1.0
donde donde PR000000 1.0
constantemente constantemente RG 1.0
se se P0000000 1.0
registran registrar VMIP3P0 1.0
nuevos nuevo AQ0MP0 1.0
casos caso NCMP000 1.0
. . FP 1.0
