Más más RG 1.0
de de SPS00 1.0
dos dos DN0CP0 1.0
centenares centenar NCMP000 1.0
de de SPS00 1.0
artistas artista NCCP000 1.0
colombianos colombiano AQ0MP0 1.0
divulgaron divulgar VMIS3P0 1.0
hoy hoy RG 1.0
un uno DI0MS0 1.0
" " FE 1.0
manifiesto manifiesto NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
cultura cultura NCFS000 1.0
por por SPS00 1.0
la el DA0FS0 1.0
paz paz NCFS000 1.0
" " FE 1.0
en en SPS00 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
aseguraron asegurar VMIS3P0 1.0
que que CS 1.0
" " FE 1.0
a a SPS00 1.0
punta punta NCFS000 1.0
de de SPS00 1.0
tiros tiro NCMP000 1.0
" " FE 1.0
no no RN 1.0
se se P0000000 1.0
resuelve resolver VMIP3S0 1.0
el el DA0MS0 1.0
conflicto conflicto NCMS000 1.0
interno interno AQ0MS0 1.0
que que PR0CN000 1.0
padece padecer VMIP3S0 1.0
su su DP3CS0 1.0
país país NCMS000 1.0
. . FP 1.0
El el DA0MS0 1.0
" " FE 1.0
Manifiesto manifiesto NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
cultura cultura NCFS000 1.0
por por SPS00 1.0
la el DA0FS0 1.0
paz paz NCFS000 1.0
" " FE 1.0
fue ser VSIS3S0 1.0
presentado presentar VMP00SM 1.0
de de SPS00 1.0
manera manera NCFS000 1.0
simultánea simultáneo AQ0FS0 1.0
al al SPCMS 1.0
anuncio anuncio NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
celebración celebración NCFS000 1.0
de de SPS00 1.0
una uno DI0FS0 1.0
" " FE 1.0
Jornada_por_la_Paz Jornada_por_la_Paz NP0000A 1.0
" " FE 1.0
que que PR0CN000 1.0
tendrá_lugar tener_lugar VMIF3S0 1.0
el el DA0MS0 1.0
próximo próximo AQ0MS0 1.0
2_de_diciembre [??:2/12/??:??.??]  1.0
. . FP 1.0
Entre entre SPS00 1.0
algunos alguno PI0MP000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
que que PR0CN000 1.0
firman firmar VMIP3P0 1.0
el el DA0MS0 1.0
manifiesto manifiesto NCMS000 1.0
están estar VMIP3P0 1.0
la el DA0FS0 1.0
pintora pintora NCFS000 1.0
Débora_Arango Débora_Arango NP0000P 1.0
, , FC 1.0
la el DA0FS0 1.0
mezzosoprano mezzosoprano NCFS000 1.0
Marta_Senn Marta_Senn NP0000P 1.0
, , FC 1.0
los el DA0MP0 1.0
actores actor NCMP000 1.0
y y CC 1.0
