Aunque aunque CS 1.0
con con SPS00 1.0
el el DA0MS0 1.0
tiempo tiempo NCMS000 1.0
en en SPS00 1.0
su su DP3CS0 1.0
contra contra NCFS000 1.0
, , FC 1.0
el el DA0MS0 1.0
candidato candidato NCMS000 1.0
republicano republicano AQ0MS0 1.0
John_McCain John_McCain NP0000P 1.0
llegó llegar VMIS3S0 1.0
a a SPS00 1.0
Michigan Michigan NP0000L 1.0
dispuesto dispuesto AQ0MSP 1.0
a a SPS00 1.0
presentar presentar VMN0000 1.0
batalla batalla NCFS000 1.0
a a SPS00 1.0
su su DP3CS0 1.0
correligionario correligionario NCMS000 1.0
George_W._Bush George_W._Bush NP0000P 1.0
y y CC 1.0
a a SPS00 1.0
arrebatarle arrebatar VMN0000 1.0
la el DA0FS0 1.0
victoria victoria NCFS000 1.0
en en SPS00 1.0
unas uno DI0FP0 1.0
primarias primaria NCFP000 1.0
vitales vital AQ0CP0 1.0
para para SPS00 1.0
su su DP3CS0 1.0
campaña campaña NCFS000 1.0
. . FP 1.0
El el DA0MS0 1.0
Partido_Republicano Partido_Republicano NP0000O 1.0
celebra celebrar VMIP3S0 1.0
mañana mañana RG 1.0
, , FC 1.0
martes [martes:??/??/??:??.??]  1.0
, , FC 1.0
en en SPS00 1.0
Michigan Michigan NP0000L 1.0
y y CC 1.0
Arizona Arizona NP0000L 1.0
sus su DP3CP0 1.0
elecciones elección NCFP000 1.0
primarias primario AQ0FP0 1.0
, , FC 1.0
abiertas abierto AQ0FPP 1.0
- - FG 1.0
además_de además_de SPS00 1.0
a a SPS00 1.0
sus su DP3CP0 1.0
votantes votante NCCP000 1.0
- - FG 1.0
a a SPS00 1.0
los el DA0MP0 1.0
demócratas demócrata NCCP000 1.0
e e CC 1.0
independientes independiente NCCP000 1.0
registrados registrado AQ0MPP 1.0
. . FP 1.0
El el DA0MS0 1.0
mensaje mensaje NCMS000 1.0
de de SPS00 1.0
McCain McCain NP0000P 1.0
, , FC 1.0
senador senador NCMS000 1.0
por por SPS00 1.0
Arizona Arizona NP0000L 1.0
, , FC 1.0
se él P0300000 1.0
ha haber VAIP3S0 1.0
hecho hacer VMP00SM 1.0
más más RG 1.0
agresivo agresivo AQ0MS0 1.0
después después RG 1.0
de de SPS00 1.0
la el DA0FS0 1.0
victoria victoria NCFS000 1.0
de de SPS00 1.0
Bush Bush NP0000P 1.0
en en SPS00 1.0
Carolina_del_Sur Carolina_del_Sur NP0000L 1.0
, , FC 1.0
y y CC 1.0
en en SPS00 1.0
los el DA0MP0 1.0
escasos escaso DI0MP0 1.0
tres tres DN0CP0 1.0
días día NCMP000 1.0
que que PR0CN000 1.0
van ir VMIP3P0 1.0
a a SPS00 1.0
separar separar VMN0000 1.0
un uno DI0MS0 1.0
proceso proceso NCMS000 1.0
de de SPS00 1.0
otro otro PI0MS000 1.0
, , FC 1.0
ha haber VAIP3S0 1.0
querido querer VMP00SM 1.0
dejar dejar VMN0000 1.0
clara claro AQ0FS0 1.0
la el DA0FS0 1.0
diferencia diferencia NCFS000 1.0
que que PR0CN000 1.0
separa separar VMIP3S0 1.0
a a SPS00 1.0
ambos ambos PN0MP000 1.0
. . FP 1.0
Con con SPS00 1.0
un uno DI0MS0 1.0
" " FE 1.0
si si CS 1.0
el el DA0MS0 1.0
gobernador gobernador NCMS000 1.0
Bush Bush NP0000P 1.0
es ser VSIP3S0 1.0
un uno DI0MS0 1.0
reformador reformador NCMS000 1.0
, , FC 1.0
yo yo PP1CSN00 1.0
soy ser VSIP1S0 1.0
astronauta astronauta NCCS000 1.0
" " FE 1.0
, , FC 1.0
John_McCain John_McCain NP0000P 1.0
ridiculizó ridiculizar VMIS3S0 1.0
las el DA0FP0 1.0
credenciales credencial NCFP000 1.0
reformistas reformista AQ0CP0 1.0
con con SPS00 1.0
que que PR0CN000 1.0
el el DA0MS0 1.0
hijo hijo NCMS000 1.0
del del SPCMS 1.0
ex ex AQ0CS0 1.0
presidente presidente NCMS000 1.0
George_Bush George_Bush NP0000P 1.0
se él P0300000 1.0
presenta presentar VMIP3S0 1.0
ante ante SPS00 1.0
los el DA0MP0 1.0
electores elector NCMP000 1.0
conservadores conservador AQ0MP0 1.0
y y CC 1.0
le él PP3CSA00 1.0
acusó acusar VMIS3S0 1.0
de de SPS00 1.0
querer querer VMN0000 1.0
robarle robar VMN0000 1.0
votos voto NCMP000 1.0
utilizando utilizar VMG0000 1.0
sus su DP3CP0 1.0
propias propio AQ0FP0 1.0
ideas idea NCFP000 1.0
. . FP 1.0
Pero pero CC 1.0
frente frente RG 1.0
a a SPS00 1.0
la el DA0FS0 1.0
presión presión NCFS000 1.0
que que PR0CN000 1.0
McCain McCain NP0000P 1.0
tiene tener VMIP3S0 1.0
encima encima RG 1.0
, , FC 1.0
el el DA0MS0 1.0
gobernador gobernador NCMS000 1.0
de de SPS00 1.0
Texas Texas NP0000L 1.0
, , FC 1.0
George_W._Bush George_W._Bush NP0000P 1.0
, , FC 1.0
se él P0300000 1.0
presenta presentar VMIP3S0 1.0
exultante exultante AQ0CS0 1.0
ante ante SPS00 1.0
el el DA0MS0 1.0
público público NCMS000 1.0
de de SPS00 1.0
Michigan Michigan NP0000L 1.0
, , FC 1.0
reforzado reforzado AQ0MSP 1.0
por por SPS00 1.0
haberse haber VAN0000 1.0
metido meter VMP00SM 1.0
en en SPS00 1.0
el el DA0MS0 1.0
bolsillo bolsillo NCMS000 1.0
a a SPS00 1.0
los el DA0MP0 1.0
votantes votante NCCP000 1.0
conservadores conservador AQ0MP0 1.0
de de SPS00 1.0
Carolina_del_Sur Carolina_del_Sur NP0000L 1.0
. . FP 1.0
En en SPS00 1.0
Michigan Michigan NP0000L 1.0
, , FC 1.0
el el DA0MS0 1.0
gobernador gobernador NCMS000 1.0
de de SPS00 1.0
