Venezuela Venezuela NP0000O 1.0
y y CC 1.0
Colombia Colombia NP0000O 1.0
defendieron defender VMIS3P0 1.0
hoy hoy RG 1.0
ante ante SPS00 1.0
la el DA0FS0 1.0
Comisión_de_Derechos_Humanos Comisión_de_Derechos_Humanos NP0000O 1.0
de de SPS00 1.0
la el DA0FS0 1.0
ONU ONU NP0000O 1.0
la el DA0FS0 1.0
cooperación cooperación NCFS000 1.0
internacional internacional AQ0CS0 1.0
, , FC 1.0
pero pero CC 1.0
no no RN 1.0
la el DA0FS0 1.0
injerencia injerencia NCFS000 1.0
en en SPS00 1.0
asuntos asunto NCMP000 1.0
nacionales nacional AQ0CP0 1.0
para para SPS00 1.0
ayudar ayudar VMN0000 1.0
a a SPS00 1.0
resolver resolver VMN0000 1.0
los el DA0MP0 1.0
problemas problema NCMP000 1.0
internos interno AQ0MP0 1.0
de de SPS00 1.0
derechos_humanos derechos_humanos NCMP000 1.0
. . FP 1.0
El el DA0MS0 1.0
vicepresidente vicepresidente NCMS000 1.0
colombiano colombiano AQ0MS0 1.0
, , FC 1.0
Gustavo_Bell Gustavo_Bell NP0000P 1.0
, , FC 1.0
y y CC 1.0
el el DA0MS0 1.0
ministro ministro NCMS000 1.0
de de SPS00 1.0
Asuntos_Exteriores_de_Venezuela Asuntos_Exteriores_de_Venezuela NP0000O 1.0
, , FC 1.0
José_Vicente_Rangel José_Vicente_Rangel NP0000P 1.0
, , FC 1.0
intervinieron intervenir VMIS3P0 1.0
en en SPS00 1.0
la el DA0FS0 1.0
segunda segundo AO0FS0 1.0
jornada jornada NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
56 56  1.0
sesión sesión NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
Comisión Comisión NP0000O 1.0
y y CC 1.0
coincidieron coincidir VMIS3P0 1.0
en en SPS00 1.0
reconocer reconocer VMN0000 1.0
la el DA0FS0 1.0
gravedad gravedad NCFS000 1.0
del del SPCMS 1.0
problema problema NCMS000 1.0
de de SPS00 1.0
violencia violencia NCFS000 1.0
en en SPS00 1.0
Colombia Colombia NP0000L 1.0
, , FC 1.0
aunque aunque CS 1.0
señalaron señalar VMIS3P0 1.0
que que CS 1.0
debe deber VMIP3S0 1.0
resolverse resolver VMN0000 1.0
a a SPS00 1.0
nivel nivel NCMS000 1.0
