La el  1.0
discusión discusión NCFS000 1.0
sobre sobre SPS00 1.0
la el DA0FS0 1.0
reelección reelección NCFS000 1.0
presidencial presidencial AQ0CS0 1.0
en en SPS00 1.0
Costa_Rica Costa_Rica NP00000 1.0
, , FC 1.0
que que PR0CN000 1.0
desde desde SPS00 1.0
diciembre [??:??/12/??:??.??]  1.0
pasado pasado AQ0MSP 1.0
impulsa impulsar VMIP3S0 1.0
el el DA0MS0 1.0
ex ex AQ0CN0 1.0
gobernante gobernante NCCS000 1.0
y y CC 1.0
Nobel_de_la_Paz Nobel_de_la_Paz NP00000 1.0
Oscar_Arias Oscar_Arias NP00000 1.0
, , FC 1.0
ha haber VAIP3S0 1.0
agitado agitar VMP00SM 1.0
la el DA0FS0 1.0
vida vida NCFS000 1.0
política político AQ0FS0 1.0
en en SPS00 1.0
este este DD0MS0 1.0
país país NCMS000 1.0
centroamericano centroamericano AQ0MS0 1.0
. . FP 1.0
Arias Arias NP00000 1.0
reveló revelar VMIS3S0 1.0
hoy hoy RG 1.0
que que CS 1.0
desde desde SPS00 1.0
finales final NCMP000 1.0
del del SPCMS 1.0
año año NCMS000 1.0
pasado pasado AQ0MSP 1.0
se él P0300000 1.0
reunió reunir VMIS3S0 1.0
en en SPS00 1.0
al_menos al_menos RG 1.0
seis seis DN0CP0 1.0
ocasiones ocasión NCFP000 1.0
para para SPS00 1.0
discutir discutir VMN0000 1.0
sobre sobre SPS00 1.0
ese ese DD0MS0 1.0
asunto asunto NCMS000 1.0
con con SPS00 1.0
los el DA0MP0 1.0
también también RG 1.0
ex ex AQ0CN0 1.0
presidentes presidente NCMP000 1.0
Rafael_Angel_Calderón Rafael_Angel_Calderón NP00000 1.0
( ( FPA 1.0
1990-1994 [??:??/??/1990-1994:??.??]  1.0
) ) FPT 1.0
, , FC 1.0
del del SPCMS 1.0
Partido_Unidad_Social_Cristiana Partido_Unidad_Social_Cristiana NP00000 1.0
( ( FPA 1.0
PUSC PUSC NP00000 1.0
) ) FPT 1.0
, , FC 1.0
en en SPS00 1.0
el el DA0MS0 1.0
poder poder NCMS000 1.0
, , FC 1.0
y y CC 1.0
José_María_Figueres José_María_Figueres NP00000 1.0
( ( FPA 1.0
1994-1998 [??:??/??/1994-1998:??.??]  1.0
) ) FPT 1.0
, , FC 1.0
del del SPCMS 1.0
Partido_Liberación_Nacional Partido_Liberación_Nacional NP00000 1.0
( ( FPA 1.0
PLN PLN NP00000 1.0
) ) FPT 1.0
, , FC 1.0
socialdemócrata socialdemócrata AQ0CS0 1.0
al_igual_que al_igual_que CS 1.0
el el DA0MS0 1.0
