Los el DA0MP0 1.0
padres padre NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
joven joven NCCS000 1.0
, , FC 1.0
que que PR0CN000 1.0
vive vivir VMIP3S0 1.0
en en SPS00 1.0
Uruguay Uruguay NP00000 1.0
, , FC 1.0
fueron ser VSIS3P0 1.0
víctimas víctima NCFP000 1.0
de de SPS00 1.0
Videla Videla NP00000 1.0
. . FP 1.0
Después después RG 1.0
de de SPS00 1.0
una uno DI0FS0 1.0
larga largo AQ0FS0 1.0
odisea odisea NCFS000 1.0
, , FC 1.0
el el DA0MS0 1.0
poeta poeta NCMS000 1.0
argentino argentino AQ0MS0 1.0
Juan_Gelman Juan_Gelman NP00000 1.0
ha haber VAIP3S0 1.0
conseguido conseguir VMP00SM 1.0
realizar realizar VMN0000 1.0
su su DP3CS0 1.0
sueño sueño NCMS000 1.0
: : FD 1.0
encontrar encontrar VMN0000 1.0
a a SPS00 1.0
su su DP3CS0 1.0
nieta nieta NCFS000 1.0
, , FC 1.0
desaparecida desaparecido AQ0FSP 1.0
en en SPS00 1.0
1976 [??:??/??/1976:??.??]  1.0
, , FC 1.0
al al SPCMS 1.0
principio principio NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
dictadura dictadura NCFS000 1.0
militar militar AQ0CS0 1.0
del del SPCMS 1.0
general general NCCS000 1.0
Videla Videla NP00000 1.0
. . FP 1.0
El el DA0MS0 1.0
presidente presidente NCMS000 1.0
uruguayo uruguayo AQ0MS0 1.0
, , FC 1.0
Jorge_Batlle Jorge_Batlle NP00000 1.0
, , FC 1.0
confirmó confirmar VMIS3S0 1.0
ayer ayer RG 1.0
que que CS 1.0
la el DA0FS0 1.0
nieta nieta NCFS000 1.0
de de SPS00 1.0
Gelman Gelman NP00000 1.0
, , FC 1.0
hija hija NCFS000 1.0
de de SPS00 1.0
desaparecidos desaparecido NCMP000 1.0
, , FC 1.0
fue ser VSIS3S0 1.0
hallada hallar VMP00SF 1.0
en en SPS00 1.0
Montevideo Montevideo NP00000 1.0
. . FP 1.0
Gelman Gelman NP00000 1.0
, , FC 1.0
que que PR0CN000 1.0
se él P0300000 1.0
entrevistó entrevistar VMIS3S0 1.0
con con SPS00 1.0
el el DA0MS0 1.0
presidente presidente NCMS000 1.0
uruguayo uruguayo AQ0MS0 1.0
antes antes RG 1.0
de de SPS00 1.0
que que CS 1.0
éste este PD0MS000 1.0
hiciera hacer VMSI3S0 1.0
pública público AQ0FS0 1.0
la el DA0FS0 1.0
noticia noticia NCFS000 1.0
, , FC 1.0
ha haber VAIP3S0 1.0
recibido recibir VMP00SM 1.0
el el DA0MS0 1.0
apoyo apoyo NCMS000 1.0
de de SPS00 1.0
más más RG 1.0
de de SPS00 1.0
160 160  1.0
intelectuales intelectual NCCP000 1.0
de de SPS00 1.0
70 70  1.0
países país NCMP000 1.0
en en SPS00 1.0
su su DP3CS0 1.0
intento intento NCMS000 1.0
de de SPS00 1.0
seguir seguir VMN0000 1.0
las el DA0FP0 1.0
huellas huella NCFP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
joven joven NCCS000 1.0
. . FP 1.0
Batlle Batlle NP00000 1.0
aseguró asegurar VMIS3S0 1.0
que que CS 1.0
el el DA0MS0 1.0
poeta poeta NCMS000 1.0
argentino argentino AQ0MS0 1.0
por_fin por_fin RG 1.0
" " FE 1.0
ha haber VAIP3S0 1.0
podido poder VMP00SM 1.0
encontrar encontrar VMN0000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
persona persona NCFS000 1.0
, , FC 1.0
que que PR0CN000 1.0
cree creer VMIP3S0 1.0
con con SPS00 1.0
toda todo DI0FS0 1.0
seguridad seguridad NCFS000 1.0
que que CS 1.0
es ser VSIP3S0 1.0
su su DP3CS0 1.0
nieta nieta NCFS000 1.0
" " FE 1.0
. . FP 1.0
El el DA0MS0 1.0
presidente presidente NCMS000 1.0
uruguayo uruguayo AQ0MS0 1.0
añadió añadir VMIS3S0 1.0
que que CS 1.0
se se P0000000 1.0
llevarán_a_cabo llevar_a_cabo VMIF3P0 1.0
exámenes examen NCMP000 1.0
médicos médico AQ0MP0 1.0
para para SPS00 1.0
confirmar confirmar VMN0000 1.0
que que CS 1.0
existe existir VMIP3S0 1.0
una uno DI0FS0 1.0
relación relación NCFS000 1.0
de de SPS00 1.0
parentesco parentesco NCMS000 1.0
entre entre SPS00 1.0
la el DA0FS0 1.0
chica chica NCFS000 1.0
, , FC 1.0
que que PR0CN000 1.0
en en SPS00 1.0
la el DA0FS0 1.0
actualidad actualidad NCFS000 1.0
tiene tener VMIP3S0 1.0
24 24  1.0
años año NCMP000 1.0
, , FC 1.0
y y CC 1.0
el el DA0MS0 1.0
célebre célebre AQ0CS0 1.0
poeta poeta NCMS000 1.0
. . FP 1.0
Gelman Gelman NP00000 1.0
había haber VAII3S0 1.0
intentado intentar VMP00SM 1.0
en_vano en_vano RG 1.0
que que CS 1.0
el el DA0MS0 1.0
predecesor predecesor NCMS000 1.0
de de SPS00 1.0
Batlle Batlle NP00000 1.0
, , FC 1.0
Julio_Maria_Sanguinetti Julio_Maria_Sanguinetti NP00000 1.0
, , FC 1.0
le él PP3CSD00 1.0
brindara brindar VMSI3S0 1.0
su su DP3CS0 1.0
colaboración colaboración NCFS000 1.0
para para SPS00 1.0
encontrar encontrar VMN0000 1.0
a a SPS00 1.0
su su DP3CS0 1.0
nieta nieta NCFS000 1.0
. . FP 1.0
El el DA0MS0 1.0
poeta poeta NCMS000 1.0
, , FC 1.0
en en SPS00 1.0
una uno DI0FS0 1.0
carta carta NCFS000 1.0
abierta abierto AQ0FSP 1.0
, , FC 1.0
le él PP3CSD00 1.0
reclamó reclamar VMIS3S0 1.0
su su DP3CS0 1.0
apoyo apoyo NCMS000 1.0
. . FP 1.0
En en SPS00 1.0
aquella aquel DD0FS0 1.0
misiva misiva NCFS000 1.0
, , FC 1.0
Gelman Gelman NP00000 1.0
explicó explicar VMIS3S0 1.0
que que CS 1.0
su su DP3CS0 1.0
nuera nuera NCFS000 1.0
María_Claudia_García María_Claudia_García NP00000 1.0
fue ser VSIS3S0 1.0
detenida detener VMP00SF 1.0
en en SPS00 1.0
agosto_de_1976 [??:??/08/1976:??.??]  1.0
, , FC 1.0
cuando cuando PR000000 1.0
estaba estar VMII3S0 1.0
embarazada embarazado AQ0FSP 1.0
. . FP 1.0
Después después RG 1.0
fue ser VSIS3S0 1.0
encarcelada encarcelar VMP00SF 1.0
en en SPS00 1.0
un uno DI0MS0 1.0
centro centro NCMS000 1.0
clandestino clandestino AQ0MS0 1.0
de de SPS00 1.0
Buenos_Aires Buenos_Aires NP00000 1.0
y y CC 1.0
trasladada trasladar VMP00SF 1.0
a a SPS00 1.0
un uno DI0MS0 1.0
hospital hospital NCMS000 1.0
de de SPS00 1.0
Montevideo Montevideo NP00000 1.0
. . FP 1.0
Su su DP3CS0 1.0
hijo hijo NCMS000 1.0
también también RG 1.0
fue ser VSIS3S0 1.0
asesinado asesinar VMP00SM 1.0
. . FP 1.0
El el DA0MS0 1.0
hijo hijo NCMS000 1.0
de de SPS00 1.0
Gelman Gelman NP00000 1.0
, , FC 1.0
Marcelo Marcelo NP00000 1.0
, , FC 1.0
también también RG 1.0
fue ser VSIS3S0 1.0
detenido detener VMP00SM 1.0
durante durante SPS00 1.0
la el DA0FS0 1.0
dictadura dictadura NCFS000 1.0
argentina argentino AQ0FS0 1.0
. . FP 1.0
Su su DP3CS0 1.0
cadáver cadáver NCMS000 1.0
no no RN 1.0
le él PP3CSD00 1.0
fue ser VSIS3S0 1.0
devuelto devolver VMP00SM 1.0
hasta hasta SPS00 1.0
1998 [??:??/??/1998:??.??]  1.0
. . FP 1.0
Gelman Gelman NP00000 1.0
, , FC 1.0
que que PR0CN000 1.0
inició iniciar VMIS3S0 1.0
la el DA0FS0 1.0
búsqueda búsqueda NCFS000 1.0
desesperada desesperado AQ0FSP 1.0
de de SPS00 1.0
su su DP3CS0 1.0
nieta nieta NCFS000 1.0
en en SPS00 1.0
1976 [??:??/??/1976:??.??]  1.0
intentará intentar VMIF3S0 1.0
reencontrarse reencontrar VMN0000 1.0
con con SPS00 1.0
ella él PP3FS000 1.0
en en SPS00 1.0
la el DA0FS0 1.0
intimidad intimidad NCFS000 1.0
. . FP 1.0
Según según SPS00 1.0
el el DA0MS0 1.0
poeta poeta NCMS000 1.0
, , FC 1.0
" " FE 1.0
la el DA0FS0 1.0
persona persona NCFS000 1.0
que que PR0CN000 1.0
busco buscar VMIP1S0 1.0
nació nacer VMIS3S0 1.0
en en SPS00 1.0
Uruguay Uruguay NP00000 1.0
, , FC 1.0
