Jaume_Alonso-Cuevillas Jaume_Alonso-Cuevillas NP00000 1.0
, , FC 1.0
decano decano NCMS000 1.0
del del SPCMS 1.0
Col.legi_d'Advocats Col.legi_d'Advocats NP00000 1.0
de de SPS00 1.0
Barcelona Barcelona NP00000 1.0
y y CC 1.0
presidente presidente NCMS000 1.0
del del SPCMS 1.0
Consell_de_Col.legis_d'Advocats Consell_de_Col.legis_d'Advocats NP00000 1.0
de de SPS00 1.0
Catalunya Catalunya NP00000 1.0
, , FC 1.0
reclamó reclamar VMIS3S0 1.0
ayer ayer RG 1.0
a a SPS00 1.0
Jordi_Pujol Jordi_Pujol NP00000 1.0
entre entre SPS00 1.0
5.000 5000  1.0
y y CC 1.0
6.000 6000  1.0
millones millón NCMP000 1.0
de de SPS00 1.0
pesetas peseta ZM 1.0
para para SPS00 1.0
los el DA0MP0 1.0
letrados letrado NCMP000 1.0
del del SPCMS 1.0
turno turno NCMS000 1.0
de de SPS00 1.0
oficio oficio NCMS000 1.0
que que PR0CN000 1.0
ejercen ejercer VMIP3P0 1.0
la el DA0FS0 1.0
asistencia asistencia NCFS000 1.0
de de SPS00 1.0
justicia justicia NCFS000 1.0
gratuita gratuito AQ0FS0 1.0
. . FP 1.0
" " FE 1.0
Escucho escuchar VMIP1S0 1.0
las el DA0FP0 1.0
reivindicaciones reivindicación NCFP000 1.0
; ; FX 1.0
me yo P010S000 1.0
lo él PP3MSA00 1.0
apunto apuntar VMIP1S0 1.0
" " FE 1.0
, , FC 1.0
se él P0300000 1.0
limitó limitar VMIS3S0 1.0
a a SPS00 1.0
decir decir VMN0000 1.0
el el DA0MS0 1.0
presidente presidente NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
Generalitat Generalitat NP00000 1.0
, , FC 1.0
que que PR0CN000 1.0
inauguró inaugurar VMIS3S0 1.0
en en SPS00 1.0
Tarragona Tarragona NP00000 1.0
el el DA0MS0 1.0
segundo segundo AO0MS0 1.0
Congreso_de_la_Abogacía_Catalana Congreso_de_la_Abogacía_Catalana NP00000 1.0
