Desde desde SPS00 1.0
un uno DI0MS0 1.0
sexto sexto AO0MS0 1.0
piso piso NCMS000 1.0
. . FP 1.0
Naturalmente naturalmente RG 1.0
, , FC 1.0
se él P0300000 1.0
mató matar VMIS3S0 1.0
. . FP 1.0
La el DA0FS0 1.0
noticia noticia NCFS000 1.0
, , FC 1.0
publicada publicado AQ0FSP 1.0
en en SPS00 1.0
este este DD0MS0 1.0
periódico periódico NCMS000 1.0
, , FC 1.0
no no RN 1.0
dice decir VMIP3S0 1.0
qué qué PT0CS000 1.0
fue ser VSIS3S0 1.0
del del SPCMS 1.0
libro libro NCMS000 1.0
; ; FX 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
sí sí RG 1.0
dice decir VMIP3S0 1.0
es ser VSIP3S0 1.0
que que CS 1.0
el el DA0MS0 1.0
suicida suicida NCCS000 1.0
, , FC 1.0
de de SPS00 1.0
29 29  1.0
años año NCMP000 1.0
, , FC 1.0
leyó leer VMIS3S0 1.0
algunas alguno DI0FP0 1.0
páginas página NCFP000 1.0
antes antes RG 1.0
de de SPS00 1.0
saltar saltar VMN0000 1.0
. . FP 1.0
La el DA0FS0 1.0
imagen imagen NCFS000 1.0
de de SPS00 1.0
ese ese DD0MS0 1.0
hombre hombre NCMS000 1.0
, , FC 1.0
de_bruces de_bruces RG 1.0
en en SPS00 1.0
el el DA0MS0 1.0
Cure Cure NP0000A 1.0
, , FC 1.0
abrazado abrazado AQ0MSP 1.0
a a SPS00 1.0
un uno DI0MS0 1.0
libro libro NCMS000 1.0
con con SPS00 1.0
toda todo DI0FS0 1.0
su su DP3CS0 1.0
alma alma NCFS000 1.0
, , FC 1.0
me yo PP1CS000 1.0
llena llenar VMIP3S0 1.0
de de SPS00 1.0
espanto espanto NCMS000 1.0
. . FP 1.0
No no RN 1.0
por por SPS00 1.0
la el DA0FS0 1.0
certidumbre certidumbre NCFS000 1.0
de de SPS00 1.0
que que CS 1.0
la el DA0FS0 1.0
muerte muerte NCFS000 1.0
, , FC 1.0
con con SPS00 1.0
su su DP3CS0 1.0
guarnición guarnición NCFS000 1.0
de de SPS00 1.0
sangre sangre NCFS000 1.0
y y CC 1.0
masa masa NCFS000 1.0
encefálica encefálico AQ0FS0 1.0
desparramada desparramado AQ0FSP 1.0
, , FC 1.0
espera esperar VMIP3S0 1.0
al al SPCMS 1.0
hombre hombre NCMS000 1.0
en en SPS00 1.0
el el DA0MS0 1.0
asfalto asfalto NCMS000 1.0
, , FC 1.0
sino sino CC 1.0
por por SPS00 1.0
el el DA0MS0 1.0
uso uso NCMS000 1.0
que que PR0CN000 1.0
los el DA0MP0 1.0
energúmenos energúmeno NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
paz paz NCFS000 1.0
y y CC 1.0
el el DA0MS0 1.0
orden orden NCMS000 1.0
puedan poder VMSP3P0 1.0
hacer hacer VMN0000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
noticia noticia NCFS000 1.0
. . FP 1.0
Estos este DD0MP0 1.0
pájaros pájaro NCMP000 1.0
, , FC 1.0
nodrizas nodriza NCFP000 1.0
jurásicas jurásico AQ0FP0 1.0
de de SPS00 1.0
la el DA0FS0 1.0
moral moral NCFS000 1.0
y y CC 1.0
las el DA0FP0 1.0
buenas buen AQ0FP0 1.0
