Leyendo leer VMG0000 1.0
sobre sobre SPS00 1.0
las el DA0FP0 1.0
hazañas hazaña NCFP000 1.0
de de SPS00 1.0
Lenoir Lenoir NP0000P 1.0
, , FC 1.0
el el DA0MS0 1.0
joven joven AQ0CS0 1.0
comerciante comerciante NCCS000 1.0
de de SPS00 1.0
Colonia Colonia NP0000L 1.0
, , FC 1.0
Nikolaus_August_Otto Nikolaus_August_Otto NP0000P 1.0
( ( FPA 1.0
1832 [??:??/??/1832:??.??]  1.0
- - FG 1.0
1891 [??:??/??/1891:??.??]  1.0
) ) FPT 1.0
se él P0300000 1.0
propuso proponer VMIS3S0 1.0
mejorar mejorar VMN0000 1.0
aquel aquel DD0MS0 1.0
motor motor NCMS000 1.0
. . FP 1.0
Tras tras SPS00 1.0
muchas mucho DI0FP0 1.0
pruebas prueba NCFP000 1.0
y y CC 1.0
retoques retoque NCMP000 1.0
, , FC 1.0
registró registrar VMIS3S0 1.0
varias varios DI0FP0 1.0
patentes patente NCFP000 1.0
y y CC 1.0
obtuvo obtener VMIS3S0 1.0
sucesivos sucesivo AQ0MP0 1.0
éxitos éxito NCMP000 1.0
con con SPS00 1.0
sus su DP3CP0 1.0
motores motor NCMP000 1.0
, , FC 1.0
que que PR0CN000 1.0
vendía vender VMII3S0 1.0
a a SPS00 1.0
millares millar NCMP000 1.0
, , FC 1.0
especialmente especialmente RG 1.0
a a SPS00 1.0
las el DA0FP0 1.0
pequeñas pequeño AQ0FP0 1.0
industrias industria NCFP000 1.0
para para SPS00 1.0
las el DA0FP0 1.0
que que PR0CN000 1.0
una uno DI0FS0 1.0
máquina máquina NCFS000 1.0
de de SPS00 1.0
vapor vapor NCMS000 1.0
era ser VSII3S0 1.0
demasiado demasiado RG 1.0
grande grande AQ0CS0 1.0
. . FP 1.0
La el DA0FS0 1.0
popularidad popularidad NCFS000 1.0
del del SPCMS 1.0
Motor_Otto Motor_Otto NP0000A 1.0
llevó llevar VMIS3S0 1.0
a a SPS00 1.0
la el DA0FS0 1.0
fundación fundación NCFS000 1.0
, , FC 1.0
en en SPS00 1.0
1872 [??:??/??/1872:??.??]  1.0
, , FC 1.0
de de SPS00 1.0
la el DA0FS0 1.0
firma firma NCFS000 1.0
Gas-Motoren-Fabrik_Deutz_A._G. Gas-Motoren-Fabrik_Deutz_A._G. NP0000O 1.0
, , FC 1.0
en en SPS00 1.0
la el DA0FS0 1.0
que que PR0CN000 1.0
participaban participar VMII3P0 1.0
los el DA0MP0 1.0
brillantes brillante AQ0CP0 1.0
ingenieros ingeniero NCMP000 1.0
Gottlieb_Daimler Gottlieb_Daimler NP0000P 1.0
y y CC 1.0
Wilhelm_Maybach Wilhelm_Maybach NP0000P 1.0
. . FP 1.0
En en SPS00 1.0
colaboración colaboración NCFS000 1.0
con con SPS00 1.0
Otto Otto NP0000P 1.0
desarrollaron desarrollar VMIS3P0 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
se él P0300000 1.0
llamaría llamar VMIC3S0 1.0
motor motor NCMS000 1.0
de de SPS00 1.0
cuatro cuatro DN0CP0 1.0
tiempos tiempo NCMP000 1.0
, , FC 1.0
por por SPS00 1.0
las el DA0FP0 1.0
cuatro cuatro DN0CP0 1.0
carreras carrera NCFP000 1.0
sucesivas sucesivo AQ0FP0 1.0
del del SPCMS 1.0
émbolo émbolo NCMS000 1.0
( ( FPA 1.0
aspiración aspiración NCFS000 1.0
, , FC 1.0
compresión compresión NCFS000 1.0
, , FC 1.0
explosión explosión NCFS000 1.0
y y CC 1.0
expulsión expulsión NCFS000 1.0
) ) FPT 1.0
y y CC 1.0
que que PR0CN000 1.0
obtuvo obtener VMIS3S0 1.0
un uno DI0MS0 1.0
arrollador arrollador AQ0MS0 1.0
triunfo triunfo NCMS000 1.0
en en SPS00 1.0
la el DA0FS0 1.0
Exposición_Universal_de_París Exposición_Universal_de_París NP0000A 1.0
de de SPS00 1.0
1878 [??:??/??/1878:??.??]  1.0
. . FP 1.0
Aunque aunque CS 1.0
rigurosamente rigurosamente RG 1.0
sería ser VSIC3S0 1.0
un uno DI0MS0 1.0
ingeniero ingeniero NCMS000 1.0
de de SPS00 1.0
Mecklenburgo Mecklenburgo NP0000L 1.0
llamado llamado AQ0MSP 1.0
Sigfried_Marcus Sigfried_Marcus NP0000P 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
presentaría presentar VMIC3S0 1.0
en en SPS00 1.0
Viena Viena NP0000L 1.0
el el DA0MS0 1.0
primer primero AO0MS0 1.0
automóvil automóvil NCMS000 1.0
