Así así RG 1.0
, , FC 1.0
la el DA0FS0 1.0
alta alto AQ0FS0 1.0
conductividad conductividad NCFS000 1.0
de de SPS00 1.0
- - FG 1.0
metal metal NCMS000 1.0
orgánico orgánico AQ0MS0 1.0
- - FG 1.0
en en SPS00 1.0
CTC CTC NC00000 1.0
sólo sólo RG 1.0
se él P0300000 1.0
produce producir VMIP3S0 1.0
cuando cuando CS 1.0
, , FC 1.0
de de SPS00 1.0
las el DA0FP0 1.0
tres tres DN0CP0 1.0
situaciones situación NCFP000 1.0
posibles posible AQ0CP0 1.0
de de SPS00 1.0
empaquetamiento empaquetamiento NCMS000 1.0
y y CC 1.0
transferencia transferencia NCFS000 1.0
de de SPS00 1.0
carga carga NCFS000 1.0
( ( FPA 1.0
fig. fig. NCFS000 1.0
4B 4  1.0
) ) FPT 1.0
, , FC 1.0
los el DA0MP0 1.0
apilamientos apilamiento NCMP000 1.0
segregados segregado AQ0MPP 1.0
van ir VMIP3P0 1.0
acompañados acompañado AQ0MPP 1.0
de de SPS00 1.0
transferencia transferencia NCFS000 1.0
parcial parcial AQ0CS0 1.0
de de SPS00 1.0
carga carga NCFS000 1.0
, , FC 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
implica implicar VMIP3S0 1.0
la el DA0FS0 1.0
existencia existencia NCFS000 1.0
de de SPS00 1.0
moléculas molécula NCFP000 1.0
neutras neutro AQ0FP0 1.0
junto_con junto_con SPS00 1.0
otras otro PI0FP000 1.0
ionizadas ionizado AQ0FPP 1.0
. . FP 1.0
Si si CS 1.0
la el DA0FS0 1.0
transferencia transferencia NCFS000 1.0
de de SPS00 1.0
carga carga NCFS000 1.0
es ser VSIP3S0 1.0
total total AQ0CS0 1.0
( ( FPA 1.0
1 1  1.0
electrón electrón NCMS000 1.0
por por SPS00 1.0
pareja pareja NCFS000 1.0
dador-aceptor dador-aceptor NCMS000 1.0
) ) FPT 1.0
, , FC 1.0
todas todo DI0FP0 1.0
las el DA0FP0 1.0
moléculas molécula NCFP000 1.0
están estar VMIP3P0 1.0
ionizadas ionizado AQ0FPP 1.0
y y CC 1.0
, , FC 1.0
como como CS 1.0
máximo máximo AQ0MS0 1.0
, , FC 1.0
pueden poder VMIP3P0 1.0
lograrse lograr VMN0000 1.0
semiconductores semiconductor NCMP000 1.0
, , FC 1.0
ya_que ya_que CS 1.0
el el DA0MS0 1.0
movimiento movimiento NCMS000 1.0
electrónico electrónico AQ0MS0 1.0
entre entre SPS00 1.0
moléculas molécula NCFP000 1.0
a_lo_largo_del a_lo_largo_del SPCMS 1.0
apilamiento apilamiento NCMS000 1.0
supondría suponer VMIC3S0 1.0
la el DA0FS0 1.0
formación formación NCFS000 1.0
de de SPS00 1.0
especies especie NCFP000 1.0
doblemente doblemente RG 1.0
cargadas cargado AQ0FPP 1.0
en en SPS00 1.0
el el DA0MS0 1.0
dador dador NCMS000 1.0
o o CC 1.0
el el DA0MS0 1.0
aceptor aceptor NCMS000 1.0
, , FC 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
implica implicar VMIP3S0 1.0
una uno DI0FS0 1.0
barrera barrera NCFS000 1.0
energética energético AQ0FS0 1.0
a_causa_de a_causa_de SPS00 1.0
repulsión repulsión NCFS000 1.0
electrónica electrónico AQ0FS0 1.0
. . FP 1.0
Una uno DI0FS0 1.0
situación situación NCFS000 1.0
desfavorable desfavorable AQ0CS0 1.0
que que PR0CN000 1.0
no no RN 1.0
se él P0300000 1.0
produce producir VMIP3S0 1.0
al al SPCMS 1.0
existir existir VMN0000 1.0
moléculas molécula NCFP000 1.0
sin sin SPS00 1.0
ionizar ionizar VMN0000 1.0
, , FC 1.0
en en SPS00 1.0
el el DA0MS0 1.0
caso caso NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
transferencia transferencia NCFS000 1.0
parcial parcial AQ0CS0 1.0
, , FC 1.0
pues pues CS 1.0
únicamente únicamente RG 1.0
se él P0300000 1.0
forman formar VMIP3P0 1.0
iones ion NCMP000 1.0
monocargados monocargado AQ0MPP 1.0
que que PR0CN000 1.0
son ser VSIP3P0 1.0
, , FC 1.0
además además RG 1.0
, , FC 1.0
particularmente particularmente RG 1.0
estables estable AQ0CP0 1.0
como como CS 1.0
consecuencia consecuencia NCFS000 1.0
. . FP 1.0
La el DA0FS0 1.0
conductividad conductividad NCFS000 1.0
eléctrica eléctrico AQ0FS0 1.0
es ser VSIP3S0 1.0
una uno DI0FS0 1.0
propiedad propiedad NCFS000 1.0
típicamente típicamente RG 1.0
metálica metálico AQ0FS0 1.0
, , FC 1.0
mientras_que mientras_que CS 1.0
las el DA0FP0 1.0
sustancias sustancia NCFP000 1.0
orgánicas orgánico AQ0FP0 1.0
son ser VSIP3P0 1.0
aislantes aislante AQ0CP0 1.0
. . FP 1.0
Los el DA0MP0 1.0
valores valor NCMP000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
conductividades conductividad NCFP000 1.0
eléctricas eléctrico AQ0FP0 1.0
( ( FPA 1.0
véase ver VMM03S0 1.0
la el DA0FS0 1.0
tabla tabla NCFS000 1.0
1 1  1.0
) ) FPT 1.0
muestran mostrar VMIP3P0 1.0
que que CS 1.0
las el DA0FP0 1.0
sustancias sustancia NCFP000 1.0
típicamente típicamente RG 1.0
orgánicas orgánico AQ0FP0 1.0
como como CS 1.0
el el DA0MS0 1.0
antraceno antraceno NCMS000 1.0
presentan presentar VMIP3P0 1.0
valores valor NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
conductividad conductividad NCFS000 1.0
muy mucho RG 1.0
bajos bajo AQ0MP0 1.0
( ( FPA 1.0
a=1016Scm a=1016Scm NCCS000 1.0
) ) FPT 1.0
, , FC 1.0
por por SPS00 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
se se P0000000 1.0
incluyen incluir VMIP3P0 1.0
dentro dentro RG 1.0
