INFORMACIÓN_GENERAL información_general NP00000 1.0
. . Fp 1.0
ÚLTIMOS_DATOS_DE_LA_ENCUESTA_DE_HOGARES_DE_MONTEVIDEO_E_INTERIOR últimos_datos_de_la_encuesta_de_hogares_de_montevideo_e_interior NP00000 1.0
. . Fp 1.0
El el DA0MS0 1.0
Instituto_Nacional_de_Estadística instituto_nacional_de_estadística NP00000 1.0
( ( Fpa 1.0
INE ine NCFS000 0.5161071017675976
) ) Fpt 1.0
comunica comunicar VMIP3S0 0.986111111111111
los el DA0MP0 0.9927281155389451
resultados resultado NCMP000 0.9985955056179774
de de SP 1.0
el el DA0MS0 1.0
relevamiento relevamiento NCMS000 0.9968860512921117
realizado realizar VMP00SM 1.0
por por SP 1.0
la el DA0FS0 0.9892597806068348
Encuesta_Continua_de_Hogares encuesta_continua_de_hogares NP00000 1.0
( ( Fpa 1.0
ECH ech NP00000 1.0
) ) Fpt 1.0
para para SP 0.9998335884976369
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
abril-junio abril-junio NCMS000 1.0
para para SP 0.9998335884976369
el el DA0MS0 1.0
departamento departamento NCMS000 1.0
de de SP 0.9999614754213187
Montevideo montevideo NP00000 1.0
y y CC 0.9999892786688395
el el DA0MS0 1.0
interior interior NCMS000 0.5441632024223628
urbano urbano AQ0MS00 0.986111111111111
de de SP 1.0
el el DA0MS0 1.0
país país NCMS000 1.0
. . Fp 1.0
. . Fp 1.0
Tradicionalmente tradicionalmente RG 1.0
el el DA0MS0 1.0
INE ine NP00000 1.0
procesaba procesar VMII3S0 0.649993865087636
y y CC 0.9999892786688395
difundía difundir VMII3S0 0.6384621375897874
los el DA0MP0 0.9927281155389451
resultados resultado NCMP000 0.9985955056179774
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
ECH ech NP00000 1.0
correspondiente correspondiente AQ0CS00 0.993421052631579
a a SP 1.0
el el DA0MS0 1.0
departamento departamento NCMS000 1.0
de de SP 0.9999614754213187
Montevideo montevideo NP00000 1.0
en en SP 1.0
aproximadamente aproximadamente RG 1.0
30_días TM_d:30 Zu 1.0
de de SP 0.9999614754213187
finalizado finalizar VMP00SM 1.0
el el DA0MS0 1.0
relevamiento relevamiento NCMS000 0.9968860512921117
. . Fp 1.0
Actualmente actualmente RG 1.0
se se P00CN00 0.494508864850837
observa observar VMIP3S0 0.9892405063291139
un uno DI0MS0 0.9969803144161175
desfasaje desfasaje NCMS000 1.0
en en SP 1.0
el el DA0MS0 1.0
procesamiento procesamiento NCMS000 1.0
y y CC 0.9999892786688395
difusión difusión NCFS000 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
resultados resultado NCMP000 0.9985955056179774
de de SP 1.0
el el DA0MS0 1.0
departamento departamento NCMS000 1.0
de de SP 0.9999614754213187
Montevideo montevideo NP00000 1.0
; ; Fx 1.0
se se P00CN00 0.494508864850837
ha haber VAIP3S0 0.9998889074043215
producido producir VMP00SM 1.0
un uno DI0MS0 0.9969803144161175
adelanto adelanto NCMS000 0.989726484322881
respecto_de respecto_de SP 1.0
el el DA0MS0 1.0
interior interior NCMS000 0.5441632024223628
urbano urbano AQ0MS00 0.986111111111111
de de SP 1.0
el el DA0MS0 1.0
país país NCMS000 1.0
. . Fp 1.0
. . Fp 1.0
Distintos distinto DI0MP0 0.6785714285714286
factores factor NCMP000 1.0
han haber VAIP3P0 0.999844768705371
determinado determinar VMP00SM 1.0
que que CS 0.5501392534733338
en en SP 1.0
los el DA0MP0 0.9927281155389451
últimos último AO0MP00 1.0
meses mes NCMP000 0.9994356659142213
se se P00CN00 0.494508864850837
alterara alterar VMSI3S0 0.6499999995614401
este este DD0MS0 0.9492011470708727
calendario calendario NCMS000 1.0
de de SP 0.9999614754213187
procesamiento procesamiento NCMS000 1.0
y y CC 0.9999892786688395
difusión difusión NCFS000 1.0
. . Fp 1.0
. . Fp 1.0
En en SP 1.0
primer 1 AO0MS00 1.0
lugar lugar NCMS000 1.0
, , Fc 1.0
se se P00CN00 0.494508864850837
ha haber VAIP3S0 0.9998889074043215
reformulado reformular VMP00SM 1.0
el el DA0MS0 1.0
procesamiento procesamiento NCMS000 1.0
de de SP 0.9999614754213187
manera manera NCFS000 1.0
de de SP 0.9999614754213187
realizar realizar VMN0000 1.0
los el DA0MP0 0.9927281155389451
procesos proceso NCMP000 1.0
de de SP 0.9999614754213187
crítica crítica NCFS000 0.4387351778656126
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
información información NCFS000 1.0
entrada entrada NCFS000 0.99800796812749
a a SP 0.9987754021314622
medios medio NCMP000 0.99734395750332
magnéticos magnético AQ0MP00 1.0
y y CC 0.9999892786688395
análisis análisis NCMN000 1.0
de de SP 0.9999614754213187
consistencia consistencia NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
información información NCFS000 1.0
, , Fc 1.0
conjuntamente conjuntamente RG 1.0
para para SP 0.9998335884976369
Montevideo montevideo NP00000 1.0
y y CC 0.9999892786688395
el el DA0MS0 1.0
interior interior NCMS000 0.5441632024223628
urbano urbano AQ0MS00 0.986111111111111
. . Fp 1.0
. . Fp 1.0
En en SP 1.0
segundo 2 AO0MS00 0.9011473962930273
lugar lugar NCMS000 1.0
, , Fc 1.0
se se P00CN00 0.494508864850837
ha haber VAIP3S0 0.9998889074043215
reformulado reformular VMP00SM 1.0
el el DA0MS0 1.0
